A4GALT	NM_017436
ACOT13	NM_018473
ACOT6	NM_001365788
ACOT8	NM_005469
ACOT9	NM_001037171
ACOX1	NM_004035
ACOX2	NM_003500
ACOX3	NM_003501
ACOXL	NM_001142807
ACP1	NM_004300
ACP2	NM_001610
ACP3	NM_001099
ACP4	NM_033068
ACP6	NM_016361
ACP7	NM_001004318
ACR	NM_001097
ACRBP	NM_032489
ACRV1	NM_001612
ACSBG1	NM_015162
ACSF2	NM_025149
ACSF3	NM_001243279
ACSL3	NM_004457
ACSL4	NM_001318510
ACSL6	NM_001009185
ACSM2A	NM_001308172
ACSM2B	NM_001105069
ACSM3	NM_005622
ACSM5	NM_017888
ACSS1	NM_032501
ACSS2	NM_018677
ACSS3	NM_024560
ACTA2	NM_001613
ACTBL2	NM_001017992
ACTG1	NM_001614
ACTG2	NM_001615
ACTL6A	NM_004301
ACTL6B	NM_016188
ACTL7A	NM_006687
ACTL7B	NM_006686
ACTL8	NM_030812
ACTL9	NM_178525
ACTN3	NM_001104
ACTN4	NM_004924
ACTR10	NM_018477
ACTR1A	NM_005736
ACTR1B	NM_005735
ACTR2	NM_005722
ACTR3	NM_005721
ACTR3B	NM_020445
ACTR5	NM_024855
ACTR8	NM_022899
ACTRT2	NM_080431
ACTRT3	NM_032487
ACVR1	NM_001111067
ACVR1B	NM_004302
ACVR1C	NM_145259
ACVR2A	NM_001616
ACVR2B	NM_001106
ACY1	NM_000666
ACY3	NM_080658
ACYP1	NM_001107
ACYP2	NM_001320586
ADAD1	NM_139243
ADAD2	NM_001145400
ADAL	NM_001324366
ADAM10	NM_001110
ADAM11	NM_002390
ADAM15	NM_207197
ADAM18	NM_014237
ADAM19	NM_033274
ADAM2	NM_001464
ADAM20	NM_003814
ADAM21	NM_003813
ADAM23	NM_003812
ADAM28	NM_014265
ADAM29	NM_014269
ADAM30	NM_021794
ADAM32	NM_145004
ADAM33	NM_025220
ADAM7	NM_003817
ADAM8	NM_001109
ADAM9	NM_003816
ADAMTS1	NM_006988
ADAMTS10	NM_030957
ADAMTS12	NM_030955
ADAMTS14	NM_080722
ADAMTS16	NM_139056
ADAMTS17	NM_139057
ADAMTS18	NM_199355
ADAMTS2	NM_014244
ADAMTS20	NM_025003
ADAMTS3	NM_014243
ADAMTS4	NM_005099
ADAMTS5	NM_007038
ADAMTS6	NM_197941
ADAMTS7	NM_014272
ADAMTS8	NM_007037
ADAMTS9	NM_182920
ADAMTSL1	NM_001040272
ADAMTSL2	NM_014694
ADAMTSL3	NM_207517
ADAMTSL5	NM_213604
ADAP1	NM_006869
ADAP2	NM_018404
ADARB1	NM_001112
ADARB2	NM_018702
ADAT2	NM_182503
ADAT3	NM_138422
ADCK1	NM_020421
ADCK2	NM_052853
ADCK5	NM_174922
ADCY10	NM_018417
ADCY2	NM_020546
ADCY5	NM_183357
ADCY7	NM_001114
ADCY8	NM_001115
ADCY9	NM_001116
ADCYAP1	NM_001099733
ADCYAP1R1	NM_001118
ADD2	NM_001617
ADD3	NM_016824
ADGB	NM_024694
ADGRA2	NM_032777
ADGRA3	NM_145290
ADGRB3	NM_001704
ADGRD1	NM_198827
ADGRE1	NM_001974
ADGRE2	NM_013447
ADGRE3	NM_032571
ADGRE5	NM_078481
ADGRF1	NM_153840
ADGRF4	NM_153838
ADGRF5	NM_001098518
ADGRG1	NM_201525
ADGRG2	NM_001079858
ADGRG3	NM_170776
ADGRG4	NM_153834
ADGRG5	NM_001304376
ADGRG6	NM_198569
ADGRG7	NM_032787
ADGRL4	NM_022159
ADH1A	NM_000667
ADH1B	NM_000668
ADH1C	NM_000669
ADH4	NM_000670
ADH6	NM_001102470
ADHFE1	NM_144650
ADI1	NM_018269
ADIPOQ	NM_004797
ADIPOR1	NM_015999
ADIPOR2	NM_024551
ADIRF	NM_006829
ADK	NM_006721
ADM	NM_001124
ADM2	NM_001253845
ADNP	NM_001282531
ADNP2	NM_014913
ADO	NM_032804
ADORA1	NM_000674
ADORA2A	NM_000675
ADPRM	NM_020233
ADPRS	NM_017825
ADRA1A	NM_000680
ADRA1B	NM_000679
ADRA1D	NM_000678
ADRA2A	NM_000681
ADRA2B	NM_000682
ADRA2C	NM_000683
ADRB1	NM_000684
ADRB3	NM_000025
ADRM1	NM_007002
ADSL	NM_000026
ADSS1	NM_152328
ADSS2	NM_001126
ADTRP	NM_032744
AEBP1	NM_001129
AEBP2	NM_153207
AEN	NM_022767
AFAP1L1	NM_152406
AFAP1L2	NM_001001936
AFF2	NM_002025
AFF4	NM_014423
AFG1L	NM_145315
AFM	NM_001133
AFP	NM_001134
AGA	NM_000027
AGAP1	NM_001037131
AGAP3	NM_031946
AGAP9	NM_001190810
AGBL2	NM_024783
AGBL3	NM_178563
AGBL4	NM_032785
AGBL5	NM_021831
AGER	NM_001136
AGFG2	NM_006076
AGGF1	NM_018046
AGL	NM_000642
AGMAT	NM_024758
AGMO	NM_001004320
AGO1	NM_012199
AGO2	NM_012154
AGO3	NM_024852
AGO4	NM_017629
AGPAT1	NM_006411
AGPAT2	NM_006412
AGPAT3	NM_020132
AGPAT4	NM_020133
AGPAT5	NM_018361
AGR2	NM_006408
AGR3	NM_176813
AGRP	NM_001138
AGT	NM_000029
AGTPBP1	NM_001330701
AGTR2	NM_000686
AGTRAP	NM_020350
AGXT	NM_000030
AGXT2	NM_031900
AHCTF1	NM_001323342
AHCY	NM_000687
AHCYL1	NM_006621
AHDC1	NM_001371928
AHI1	NM_001134831
AHNAK	NM_001620
AHNAK2	NM_138420
AHR	NM_001621
AHSA1	NM_012111
AHSG	NM_001622
AIDA	NM_022831
AIF1	NM_001623
AIF1L	NM_031426
AIFM1	NM_004208
AIFM2	NM_032797
AIG1	NM_016108
AIM2	NM_004833
AIMP1	NM_001142416
AIMP2	NM_006303
AIPL1	NM_014336
AJAP1	NM_018836
AJUBA	NM_032876
AK3	NM_016282
AK4	NM_013410
AK5	NM_174858
AK6	NM_016283
AK7	NM_152327
AK8	NM_152572
AKAIN1	NM_001145194
AKAP1	NM_003488
AKAP10	NM_007202
AKAP11	NM_016248
AKAP12	NM_005100
AKAP13	NM_007200
AKAP14	NM_178813
AKAP17A	NM_005088
AKAP3	NM_001278309
AKAP4	NM_003886
AKAP5	NM_004857
AKAP6	NM_004274
AKAP8	NM_005858
AKAP8L	NM_014371
AKIP1	NM_020642
AKIRIN1	NM_024595
AKIRIN2	NM_018064
AKNA	NM_001317950
AKNAD1	NM_152763
AKR1B1	NM_001628
AKR1B10	NM_020299
AKR1B15	NM_001080538
AKR1C1	NM_001353
AKR1C3	NM_003739
AKR1D1	NM_005989
AKR1E2	NM_001040177
AKR7A3	NM_012067
AKT1S1	NM_001098633
AKTIP	NM_022476
ALAD	NM_000031
ALAS1	NM_000688
ALB	NM_000477
ALCAM	NM_001627
ALDH16A1	NM_153329
ALDH18A1	NM_002860
ALDH1A1	NM_000689
ALDH1A2	NM_003888
ALDH1A3	NM_000693
ALDH1B1	NM_000692
ALDH1L1	NM_012190
ALDH1L2	NM_001034173
ALDH2	NM_000690
ALDH3A1	NM_000691
ALDH3A2	NM_000382
ALDH3B1	NM_000694
ALDH4A1	NM_003748
ALDH5A1	NM_001080
ALDH6A1	NM_005589
ALDH7A1	NM_001182
ALDH8A1	NM_022568
ALDOA	NM_001243177
ALDOC	NM_005165
ALG1	NM_019109
ALG10	NM_032834
ALG10B	NM_001013620
ALG11	NM_001004127
ALG12	NM_024105
ALG13	NM_001099922
ALG14	NM_144988
ALG1L2	NM_001136152
ALG2	NM_033087
ALG3	NM_005787
ALG5	NM_013338
ALG8	NM_024079
ALG9	NM_024740
ALKAL1	NM_207413
ALKAL2	NM_001002919
ALKBH1	NM_006020
ALKBH2	NM_001145374
ALKBH3	NM_139178
ALKBH4	NM_017621
ALKBH5	NM_017758
ALKBH7	NM_032306
ALKBH8	NM_138775
ALLC	NM_018436
ALOX12	NM_000697
ALOX15	NM_001140
ALOX15B	NM_001141
ALOX5	NM_000698
ALOXE3	NM_021628
ALPG	NM_031313
ALPI	NM_001631
ALPK1	NM_025144
ALPK2	NM_052947
ALPK3	NM_020778
ALPL	NM_000478
ALPP	NM_001632
ALS2CL	NM_147129
ALX1	NM_006982
ALYREF	NM_005782
AMACR	NM_014324
AMBN	NM_016519
AMBP	NM_001633
AMDHD1	NM_152435
AMELX	NM_001142
AMER3	NM_152698
AMFR	NM_001144
AMH	NM_000479
AMHR2	NM_020547
AMIGO1	NM_020703
AMIGO3	NM_198722
AMMECR1	NM_015365
AMMECR1L	NM_001199140
AMN1	NM_001113402
AMOTL1	NM_130847
AMPD2	NM_001368809
AMPH	NM_001635
AMTN	NM_212557
AMZ2	NM_016627
ANAPC1	NM_022662
ANAPC10	NM_001256706
ANAPC16	NM_173473
ANAPC2	NM_013366
ANAPC4	NM_013367
ANAPC5	NM_016237
ANGEL1	NM_015305
ANGEL2	NM_144567
ANGPT1	NM_001146
ANGPT2	NM_001118887
ANGPT4	NM_015985
ANGPTL1	NM_004673
ANGPTL2	NM_012098
ANGPTL3	NM_014495
ANGPTL4	NM_139314
ANGPTL5	NM_178127
ANGPTL7	NM_021146
ANGPTL8	NM_018687
ANHX	NM_001372060
ANK1	NM_000037
ANK2	NM_001148
ANK3	NM_020987
ANKDD1A	NM_182703
ANKEF1	NM_022096
ANKFY1	NM_001330063
ANKHD1	NM_017747
ANKIB1	NM_019004
ANKK1	NM_178510
ANKLE1	NM_152363
ANKLE2	NM_015114
ANKMY2	NM_020319
ANKRA2	NM_023039
ANKRD10	NM_017664
ANKRD11	NM_013275
ANKRD12	NM_015208
ANKRD13A	NM_033121
ANKRD13B	NM_152345
ANKRD13C	NM_030816
ANKRD13D	NM_207354
ANKRD16	NM_019046
ANKRD17	NM_032217
ANKRD18A	NM_147195
ANKRD2	NM_001346793
ANKRD22	NM_144590
ANKRD23	NM_144994
ANKRD27	NM_032139
ANKRD29	NM_173505
ANKRD31	NM_001372053
ANKRD33	NM_182608
ANKRD33B	NM_001164440
ANKRD34A	NM_001039888
ANKRD34B	NM_001004441
ANKRD35	NM_144698
ANKRD36	NM_001354587
ANKRD37	NM_181726
ANKRD39	NM_016466
ANKRD40	NM_052855
ANKRD40CL	NM_001358683
ANKRD42	NM_001300975
ANKRD44	NM_001195144
ANKRD45	NM_198493
ANKRD46	NM_001270377
ANKRD49	NM_017704
ANKRD50	NM_020337
ANKRD52	NM_173595
ANKRD53	NM_001115116
ANKRD54	NM_138797
ANKRD55	NM_024669
ANKRD6	NM_001242809
ANKRD61	NM_001271700
ANKRD62	NM_001277333
ANKRD7	NM_019644
ANKRD9	NM_152326
ANKS1A	NM_015245
ANKS3	NM_133450
ANKS4B	NM_145865
ANKS6	NM_173551
ANKUB1	NM_001144960
ANKZF1	NM_018089
ANLN	NM_018685
ANO10	NM_018075
ANO3	NM_031418
ANO4	NM_001286615
ANO6	NM_001025356
ANO8	NM_020959
ANO9	NM_001012302
ANOS1	NM_000216
ANP32A	NM_006305
ANP32B	NM_006401
ANP32D	NM_012404
ANP32E	NM_030920
ANPEP	NM_001150
ANTKMT	NM_023933
ANTXR2	NM_058172
ANXA1	NM_000700
ANXA10	NM_007193
ANXA11	NM_145868
ANXA13	NM_004306
ANXA2	NM_004039
ANXA3	NM_005139
ANXA4	NM_001153
ANXA5	NM_001154
ANXA6	NM_001155
ANXA7	NM_001156
ANXA8	NM_001040084
ANXA8L1	NM_001098845
ANXA9	NM_003568
AOAH	NM_001637
AOC1	NM_001091
AOC2	NM_009590
AOC3	NM_003734
AOX1	NM_001159
AP1AR	NM_018569
AP1G1	NM_001128
AP1G2	NM_003917
AP1M1	NM_032493
AP1M2	NM_005498
AP1S2	NM_001272071
AP1S3	NM_001039569
AP2A1	NM_130787
AP2A2	NM_012305
AP2B1	NM_001030006
AP2M1	NM_004068
AP2S1	NM_004069
AP3B2	NM_001278512
AP3M2	NM_006803
AP3S1	NM_001284
AP3S2	NM_005829
AP4B1	NM_001253852
AP4M1	NM_004722
AP4S1	NM_001128126
AP5B1	NM_138368
AP5M1	NM_018229
AP5S1	NM_018347
APAF1	NM_181861
APBA1	NM_001163
APBA3	NM_004886
APBB1	NM_001164
APBB1IP	NM_019043
APBB2	NM_004307
APC	NM_000038
APC2	NM_005883
APCDD1	NM_153000
APCDD1L	NM_153360
APCS	NM_001639
APEH	NM_001640
APELA	NM_001297550
APEX1	NM_001641
APEX2	NM_014481
APH1A	NM_001077628
APH1B	NM_031301
API5	NM_001142930
APIP	NM_015957
APLF	NM_173545
APLN	NM_017413
APLP1	NM_001024807
APMAP	NM_020531
APOA2	NM_001643
APOA4	NM_000482
APOA5	NM_001371904
APOB	NM_000384
APOBEC1	NM_001644
APOBEC3A	NM_145699
APOBEC3B	NM_004900
APOBEC3C	NM_014508
APOBEC3D	NM_152426
APOBEC3F	NM_145298
APOBEC3G	NM_021822
APOBEC4	NM_203454
APOBR	NM_018690
APOC2	NM_000483
APOC3	NM_000040
APOC4	NM_001646
APOD	NM_001647
APOE	NM_000041
APOF	NM_001638
APOH	NM_000042
APOL2	NM_030882
APOL5	NM_030642
APOL6	NM_030641
APOLD1	NM_030817
APOM	NM_019101
APOO	NM_024122
APOOL	NM_198450
APP	NM_000484
APPBP2	NM_006380
APPL1	NM_012096
APPL2	NM_018171
APRT	NM_000485
APTX	NM_001195248
AQP10	NM_080429
AQP11	NM_173039
AQP12A	NM_198998
AQP12B	NM_001102467
AQP4	NM_001650
AQP5	NM_001651
AQP6	NM_001652
AQP7	NM_001170
AQP8	NM_001169
AQP9	NM_020980
AQR	NM_014691
ARAF	NM_001654
ARAP2	NM_015230
ARAP3	NM_022481
ARC	NM_015193
ARCN1	NM_001655
AREG	NM_001657
AREL1	NM_001039479
ARF1	NM_001658
ARF3	NM_001659
ARF4	NM_001660
ARF5	NM_001662
ARF6	NM_001663
ARFGAP1	NM_018209
ARFGAP2	NM_032389
ARFGAP3	NM_014570
ARFGEF1	NM_006421
ARFGEF2	NM_006420
ARFGEF3	NM_020340
ARFIP1	NM_001025595
ARFRP1	NM_001267547
ARG1	NM_000045
ARG2	NM_001172
ARGFX	NM_001012659
ARGLU1	NM_018011
ARHGAP1	NM_004308
ARHGAP10	NM_024605
ARHGAP11A	NM_014783
ARHGAP12	NM_018287
ARHGAP15	NM_018460
ARHGAP17	NM_001006634
ARHGAP18	NM_033515
ARHGAP19	NM_032900
ARHGAP21	NM_020824
ARHGAP22	NM_021226
ARHGAP23	NM_001199417
ARHGAP24	NM_001025616
ARHGAP25	NM_001007231
ARHGAP28	NM_001366230
ARHGAP29	NM_004815
ARHGAP30	NM_001025598
ARHGAP31	NM_020754
ARHGAP35	NM_004491
ARHGAP36	NM_144967
ARHGAP4	NM_001666
ARHGAP42	NM_152432
ARHGAP44	NM_014859
ARHGAP5	NM_001030055
ARHGAP6	NM_013427
ARHGAP9	NM_032496
ARHGDIA	NM_004309
ARHGDIB	NM_001175
ARHGDIG	NM_001176
ARHGEF1	NM_004706
ARHGEF10L	NM_018125
ARHGEF11	NM_198236
ARHGEF12	NM_015313
ARHGEF15	NM_173728
ARHGEF16	NM_014448
ARHGEF17	NM_014786
ARHGEF19	NM_153213
ARHGEF2	NM_001162383
ARHGEF25	NM_182947
ARHGEF26	NM_015595
ARHGEF3	NM_019555
ARHGEF35	NM_001003702
ARHGEF37	NM_001001669
ARHGEF38	NM_001242729
ARHGEF39	NM_032818
ARHGEF4	NM_001367493
ARHGEF40	NM_018071
ARHGEF5	NM_005435
ARHGEF6	NM_004840
ARHGEF9	NM_001353921
ARID1B	NM_001374828
ARID2	NM_152641
ARID3A	NM_005224
ARID4A	NM_002892
ARID4B	NM_016374
ARID5A	NM_212481
ARID5B	NM_032199
ARIH1	NM_005744
ARL1	NM_001177
ARL10	NM_173664
ARL11	NM_138450
ARL13A	NM_001162491
ARL13B	NM_001174150
ARL14	NM_025047
ARL15	NM_019087
ARL17A	NM_001113738
ARL17B	NM_001039083
ARL2	NM_001667
ARL2BP	NM_012106
ARL3	NM_004311
ARL4A	NM_005738
ARL4C	NM_001282431
ARL4D	NM_001661
ARL5A	NM_012097
ARL5B	NM_178815
ARL5C	NM_001143968
ARL6	NM_001278293
ARL6IP1	NM_015161
ARL6IP5	NM_006407
ARL6IP6	NM_152522
ARL8A	NM_138795
ARL8B	NM_018184
ARL9	NM_001363794
ARMC1	NM_018120
ARMC10	NM_031905
ARMC12	NM_001286574
ARMC2	NM_032131
ARMC3	NM_173081
ARMC4	NM_018076
ARMC5	NM_001105247
ARMC6	NM_001199196
ARMC7	NM_024585
ARMC8	NM_001363941
ARMC9	NM_001352754
ARMCX1	NM_016608
ARMCX2	NM_177949
ARMCX3	NM_177947
ARMCX6	NM_019007
ARMH1	NM_001145636
ARMH2	NM_001282492
ARMH3	NM_024541
ARMH4	NM_001001872
ARMS2	NM_001099667
ARMT1	NM_024573
ARNT	NM_001668
ARNT2	NM_014862
ARPC1A	NM_006409
ARPC2	NM_152862
ARPC3	NM_001278556
ARPC5	NM_005717
ARPC5L	NM_030978
ARPIN	NM_182616
ARPP19	NM_006628
ARR3	NM_004312
ARRB1	NM_004041
ARRB2	NM_004313
ARRDC1	NM_152285
ARRDC2	NM_015683
ARRDC3	NM_020801
ARRDC4	NM_183376
ARRDC5	NM_001080523
ARSA	NM_000487
ARSB	NM_000046
ARSD	NM_001669
ARSF	NM_001201539
ARSH	NM_001011719
ARSI	NM_001012301
ARSJ	NM_024590
ARSK	NM_198150
ARSL	NM_000047
ART1	NM_004314
ART3	NM_001130016
ART5	NM_053017
ARTN	NM_057091
ARV1	NM_022786
ARVCF	NM_001670
ARX	NM_139058
AS3MT	NM_020682
ASAH1	NM_177924
ASAH2B	NM_001321958
ASAP1	NM_018482
ASAP2	NM_003887
ASAP3	NM_017707
ASB1	NM_001040445
ASB10	NM_001142459
ASB11	NM_080873
ASB12	NM_130388
ASB13	NM_024701
ASB14	NM_001142733
ASB15	NM_001290258
ASB16	NM_080863
ASB17	NM_080868
ASB2	NM_001202429
ASB3	NM_016115
ASB4	NM_016116
ASB5	NM_080874
ASB6	NM_017873
ASB7	NM_198243
ASB8	NM_024095
ASB9	NM_001031739
ASCC1	NM_001198800
ASCC2	NM_032204
ASCC3	NM_006828
ASCL1	NM_004316
ASDURF	NM_001353493
ASF1A	NM_014034
ASF1B	NM_018154
ASGR1	NM_001671
ASH1L	NM_018489
ASH2L	NM_004674
ASIC1	NM_001095
ASIC3	NM_004769
ASIC5	NM_017419
ASL	NM_000048
ASMT	NM_001171038
ASMTL	NM_004192
ASNS	NM_001673
ASNSD1	NM_019048
ASPA	NM_000049
ASPDH	NM_001114598
ASPG	NM_001080464
ASPH	NM_004318
ASPHD1	NM_181718
ASPHD2	NM_020437
ASPM	NM_018136
ASPSCR1	NM_024083
ASRGL1	NM_001083926
ASS1	NM_054012
ASTE1	NM_014065
ASTN1	NM_004319
ASXL1	NM_015338
ASXL3	NM_030632
ASZ1	NM_130768
ATAD2	NM_014109
ATAD2B	NM_017552
ATAD3A	NM_001170535
ATAD3B	NM_031921
ATAD5	NM_024857
ATAT1	NM_001031722
ATCAY	NM_033064
ATF1	NM_005171
ATF2	NM_001880
ATF3	NM_001674
ATF6	NM_007348
ATF6B	NM_004381
ATF7	NM_006856
ATG10	NM_031482
ATG12	NM_004707
ATG14	NM_014924
ATG16L1	NM_030803
ATG16L2	NM_033388
ATG2A	NM_015104
ATG2B	NM_018036
ATG3	NM_022488
ATG4A	NM_052936
ATG4B	NM_013325
ATG4C	NM_032852
ATG4D	NM_032885
ATG5	NM_004849
ATG9A	NM_001077198
ATIC	NM_004044
ATL1	NM_015915
ATL2	NM_001135673
ATL3	NM_015459
ATMIN	NM_015251
ATN1	NM_001940
ATOH1	NM_005172
ATOH7	NM_145178
ATOH8	NM_032827
ATOX1	NM_004045
ATP10B	NM_025153
ATP10D	NM_020453
ATP11B	NM_014616
ATP12A	NM_001676
ATP13A1	NM_020410
ATP13A3	NM_001367549
ATP13A4	NM_032279
ATP13A5	NM_198505
ATP1A1	NM_000701
ATP1A4	NM_144699
ATP1B1	NM_001677
ATP1B2	NM_001678
ATP1B3	NM_001679
ATP1B4	NM_001142447
ATP23	NM_033276
ATP2A1	NM_004320
ATP2A2	NM_170665
ATP2A3	NM_005173
ATP2B2	NM_001001331
ATP2B4	NM_001684
ATP2C2	NM_014861
ATP4A	NM_000704
ATP4B	NM_000705
ATP5F1A	NM_004046
ATP5F1B	NM_001686
ATP5F1C	NM_001001973
ATP5F1D	NM_001687
ATP5F1E	NM_006886
ATP5IF1	NM_016311
ATP5MC1	NM_005175
ATP5MC2	NM_005176
ATP5MD	NM_001206427
ATP5ME	NM_007100
ATP5MF	NM_004889
ATP5MG	NM_006476
ATP5MGL	NM_001165877
ATP5MPL	NM_004894
ATP5PB	NM_001688
ATP5PD	NM_006356
ATP5PO	NM_001697
ATP6AP1	NM_001183
ATP6AP2	NM_005765
ATP6V0A1	NM_001130021
ATP6V0A2	NM_012463
ATP6V0B	NM_004047
ATP6V0C	NM_001694
ATP6V0D1	NM_004691
ATP6V0D2	NM_152565
ATP6V0E1	NM_003945
ATP6V1A	NM_001690
ATP6V1B2	NM_001693
ATP6V1C1	NM_001695
ATP6V1C2	NM_001039362
ATP6V1D	NM_015994
ATP6V1E1	NM_001696
ATP6V1E2	NM_001318063
ATP6V1F	NM_004231
ATP6V1FNB	NM_001195150
ATP6V1G1	NM_004888
ATP6V1G3	NM_001376861
ATP6V1H	NM_015941
ATP7A	NM_000052
ATP7B	NM_000053
ATP8A2	NM_016529
ATP8B4	NM_024837
ATP9A	NM_006045
ATP9B	NM_198531
ATPAF2	NM_145691
ATPSCKMT	NM_199133
ATRIP	NM_130384
ATRN	NM_139321
ATRNL1	NM_207303
ATXN10	NM_013236
ATXN1L	NM_001137675
ATXN7L3B	NM_001136262
AUNIP	NM_024037
AUP1	NM_181575
AURKB	NM_004217
AURKC	NM_001015878
AUTS2	NM_015570
AVEN	NM_020371
AVL9	NM_015060
AVPI1	NM_021732
AVPR1A	NM_000706
AVPR1B	NM_000707
AWAT1	NM_001013579
AWAT2	NM_001002254
AXDND1	NM_144696
AXIN1	NM_003502
AXL	NM_021913
AZGP1	NM_001185
AZI2	NM_022461
AZIN1	NM_148174
AZIN2	NM_052998
AZU1	NM_001700
B3GALNT2	NM_152490
B3GALT2	NM_003783
B3GALT4	NM_003782
B3GAT1	NM_054025
B3GAT2	NM_080742
B3GAT3	NM_012200
B3GLCT	NM_194318
B3GNT2	NM_006577
B3GNT3	NM_014256
B3GNT4	NM_030765
B3GNT5	NM_032047
B3GNT6	NM_138706
B3GNT7	NM_145236
B3GNT9	NM_033309
B4GALNT1	NM_001478
B4GALNT2	NM_001159387
B4GALNT3	NM_173593
B4GALNT4	NM_178537
B4GALT1	NM_001497
B4GALT3	NM_003779
B4GALT4	NM_003778
B4GALT5	NM_004776
B4GALT7	NM_007255
B4GAT1	NM_006876
B9D1	NM_015681
B9D2	NM_030578
BAALC	NM_024812
BAAT	NM_001701
BABAM1	NM_014173
BABAM2	NM_199191
BACE2	NM_012105
BACH1	NM_001186
BACH2	NM_021813
BAD	NM_032989
BAG2	NM_004282
BAG4	NM_004874
BAHD1	NM_014952
BAIAP2L1	NM_018842
BAIAP2L2	NM_025045
BAIAP3	NM_001199097
BAK1	NM_001188
BAMBI	NM_012342
BANF1	NM_003860
BANK1	NM_017935
BARHL1	NM_020064
BARHL2	NM_020063
BARX1	NM_021570
BARX2	NM_003658
BASP1	NM_006317
BATF	NM_006399
BATF2	NM_138456
BATF3	NM_018664
BAX	NM_138761
BAZ1A	NM_013448
BAZ1B	NM_032408
BAZ2B	NM_013450
BBC3	NM_014417
BBIP1	NM_001195305
BBOF1	NM_025057
BBOX1	NM_003986
BBS1	NM_024649
BBS12	NM_152618
BBS2	NM_031885
BBS4	NM_033028
BBS5	NM_152384
BBS7	NM_176824
BBS9	NM_198428
BBX	NM_001142568
BCAM	NM_005581
BCAN	NM_021948
BCAP31	NM_001256447
BCAR1	NM_014567
BCAR3	NM_003567
BCAS2	NM_005872
BCAT1	NM_005504
BCAT2	NM_001190
BCCIP	NM_078468
BCDIN3D	NM_181708
BCHE	NM_000055
BCKDHA	NM_000709
BCKDHB	NM_183050
BCKDK	NM_005881
BCL11A	NM_022893
BCL11B	NM_138576
BCL2A1	NM_004049
BCL2L1	NM_138578
BCL2L11	NM_138621
BCL2L13	NM_015367
BCL2L14	NM_138723
BCL2L15	NM_001010922
BCL2L2	NM_004050
BCL3	NM_005178
BCL6	NM_001706
BCL6B	NM_181844
BCL7A	NM_001024808
BCL7B	NM_001707
BCL9	NM_004326
BCLAF1	NM_014739
BCO1	NM_017429
BCO2	NM_031938
BCOR	NM_001123385
BCS1L	NM_001079866
BDH1	NM_203314
BDH2	NM_020139
BDKRB1	NM_000710
BDNF	NM_001709
BDP1	NM_018429
BEAN1	NM_001178020
BECN1	NM_001313998
BECN2	NM_001290693
BEND2	NM_153346
BEND3	NM_001367314
BEND4	NM_207406
BEND5	NM_024603
BEND6	NM_152731
BEST1	NM_004183
BEST2	NM_017682
BEST3	NM_032735
BEST4	NM_153274
BET1	NM_005868
BEX1	NM_018476
BEX2	NM_032621
BEX3	NM_206917
BEX4	NM_001080425
BEX5	NM_001012978
BFAR	NM_016561
BFSP1	NM_001195
BFSP2	NM_003571
BGLAP	NM_199173
BGN	NM_001711
BHLHA9	NM_001164405
BHLHB9	NM_001142524
BHLHE22	NM_152414
BHLHE23	NM_080606
BHLHE40	NM_003670
BHLHE41	NM_030762
BHMG1	NM_001310124
BHMT	NM_001713
BHMT2	NM_017614
BICD1	NM_001714
BICD2	NM_001003800
BICDL2	NM_001369667
BID	NM_001196
BIK	NM_001197
BIN2	NM_016293
BIN3	NM_018688
BIRC5	NM_001168
BIRC7	NM_139317
BIVM	NM_017693
BLCAP	NM_006698
BLID	NM_001001786
BLK	NM_001715
BLMH	NM_000386
BLOC1S2	NM_173809
BLOC1S4	NM_018366
BLOC1S5	NM_201280
BLVRA	NM_000712
BLVRB	NM_000713
BLZF1	NM_001320973
BMERB1	NM_033201
BMF	NM_001003940
BMI1	NM_005180
BMP1	NM_006129
BMP15	NM_005448
BMP2	NM_001200
BMP4	NM_001202
BMP5	NM_021073
BMP6	NM_001718
BMP7	NM_001719
BMP8A	NM_181809
BMP8B	NM_001720
BMPR1B	NM_001203
BMS1	NM_014753
BMT2	NM_152556
BMX	NM_203281
BNC2	NM_017637
BNIP1	NM_001205
BNIP2	NM_004330
BNIP3L	NM_004331
BNIP5	NM_001010903
BNIPL	NM_138278
BOD1	NM_138369
BOD1L1	NM_148894
BOD1L2	NM_001257964
BOK	NM_032515
BOLA1	NM_016074
BOLA2B	NM_001039182
BOLA3	NM_212552
BOLL	NM_033030
BOP1	NM_015201
BORA	NM_024808
BORCS5	NM_058169
BORCS6	NM_017622
BORCS7	NM_001136200
BORCS8	NM_001145784
BPGM	NM_001724
BPHL	NM_004332
BPI	NM_001725
BPIFA1	NM_130852
BPIFA2	NM_080574
BPIFA3	NM_178466
BPIFB1	NM_033197
BPIFB2	NM_025227
BPIFB6	NM_174897
BPNT1	NM_006085
BPNT2	NM_017813
BPTF	NM_182641
BPY2	NM_004678
BPY2B	NM_001002760
BPY2C	NM_001002761
BRAP	NM_006768
BRAT1	NM_152743
BRD2	NM_005104
BRD3	NM_007371
BRD3OS	NM_001355256
BRD7	NM_013263
BRD8	NM_139199
BRD9	NM_023924
BRF1	NM_001519
BRF2	NM_018310
BRI3	NM_015379
BRI3BP	NM_080626
BRINP1	NM_014618
BRINP2	NM_021165
BRINP3	NM_199051
BRIX1	NM_018321
BRK1	NM_018462
BRMS1	NM_015399
BRMS1L	NM_032352
